,name,rating,state,regions
566,Atlanta Marriott Marquis,4.4,GA,S
567,Hyatt Place Dublin/Pleasanton,4.4,CA,W
568,Renaissance Toledo Downtown Hotel,4.4,OH,M
569,Hyatt Regency St. Louis At The Arch,4.4,MO,M
570,The Woodmark Hotel,4.6,WA,W
571,Weathervane Inn,4.5,MI,W
572,Town & Country Inn and Suites,4.5,IL,M
573,Hampton Inn Morgan Hill,4.4,CA,W
575,Best Western Plus Lawnfield Inn & Suites,4.6,OH,M
576,La Quinta Inn & Suites by Wyndham Rapid City,4.1,SD,M
577,Best Western Danville Sycamore Inn,4.2,CA,W
578,Nobu Ryokan Malibu,4.6,CA,W
580,Peppermill Resort Spa Casino,4.4,NV,W
