,name,rating
461,Blue Lake Ranch,4.8
462,The Bostonian Boston,4.4
463,Bloomington-Normal Marriott Hotel & Conference Center,4.4
464,Bayview Plaza Waterfront Resort,4.5
465,Ramada by Wyndham Walterboro,2.9
466,Hampton Inn Kyle,4.6
467,"The Ritz-Carlton, Naples",4.7
468,Holiday Inn Express & Suites Fond Du Lac,4.5
469,Big Rock Golf Course at Indian Springs,4.3
470,Holiday Inn Express & Suites Oakland-Airport,4.1
471,Best Western Plus Black Oak,4.4
472,The Westin Mission Hills Golf Resort & Spa,4.4
473,Flanigan's Inn Springdale UT - Hotel Zion National Park,4.7
474,Le Méridien Delfina Santa Monica,4.3
475,Best Western St. Augustine Beach Inn,4.4
476,CCBC Resort Hotel,4.2
477,Wyndham Garden Washington DC North BW Parkway,3.7
478,La Posada Hotel,4.7
479,Holiday Inn Chicago-Elk Grove,4.0
480,The Audubon Inn,4.4
481,Comfort Suites,4.3
482,La Quinta Inn & Suites by Wyndham Austin - Cedar Park,4.3
483,Hilton Akron/Fairlawn,4.4
484,Aloft Columbia Harbison,4.1
485,The Hotel SYNC,4.7
486,Courtyard by Marriott Akron Downtown,4.5
487,Best Western Plus Springfield Airport Inn,4.3
488,Abe Martin Lodge,4.1
489,Twin Falls Resort State Park,4.6
490,Holiday Inn Express Mountain View - S Palo Alto,4.3
491,Seven Canyons Golf Club,4.6
492,"Sheraton Mountain Vista Villas, Avon / Vail Valley",4.4
493,Embassy Suites by Hilton Knoxville West,4.6
494,Aloft Charlotte Ballantyne,4.5
495,Lone Star Court,4.4
496,Holiday Inn Express & Suites Houston - Memorial Park Area,4.1
497,DoubleTree by Hilton Hotel Akron - Fairlawn,4.2
498,"The Raphael Hotel, Autograph Collection",4.7
499,"Hotel La Jolla, Curio Collection by Hilton",4.1
500,Embassy Suites by Hilton Milpitas Silicon Valley,3.9
501,"Motel 6 Huron, OH - Sandusky",3.4
502,Hampton Inn Sheridan,3.9
503,Montage Laguna Beach,4.7
504,The Shores Resort & Spa,4.2
505,Hampton Inn Denver Tech Center South,4.4
506,"Avenue of the Arts Costa Mesa, a Tribute Portfolio Hotel",4.5
507,Graduate Athens,4.3
508,The Arrabelle at Vail Square,4.6
509,Hilton Garden Inn Kennett Square,4.2
510,Hyatt Place Long Island/East End,4.5
511,Sheraton New Orleans Hotel,4.3
512,Northern Lights Lodge,4.4
513,Hilton Garden Inn Palm Beach Gardens,4.4
514,"The Ritz-Carlton, Marina del Rey",4.6
515,8629 International Dr,
516,Hilton Fort Collins,4.1
517,Red Lion Hotel Templin's on the River,3.6
518,The Westin Hilton Head Island Resort & Spa,4.3
519,Hotel Julien Dubuque,4.5
520,Powderhorn Mountain Resort,4.5
521,Tesla Destination Charger,
522,InterContinental Miami,4.6
523,Hampton Inn Atlanta-Buckhead,4.3
524,The Chateau at Lake La Quinta,4.5
525,Manor Vail Lodge,4.6
526,Mirbeau Inn & Spa Skaneateles,4.6
527,Best Western Westfield Inn,4.3
528,Storm King Tavern,4.3
529,Columbia Cliff Villas Hotel,4.4
530,The Grand Summit Hotel,4.0
531,Hilton Garden Inn Tifton,4.4
532,Hilton Garden Inn Mobile West I-65/Airport Blvd.,4.2
533,The Ahwahnee,4.4
534,TownePlace Suites by Marriott Newark Silicon Valley,4.2
535,"Renaissance Esmeralda Resort & Spa, Indian Wells",4.5
536,Shrine Mont,4.9
537,Courtyard by Marriott Cincinnati Airport,4.2
538,h2hotel,4.6
539,Holiday Inn Melbourne-Viera Conference Ctr,3.9
540,Horseshoe Bay Resort,4.3
541,Lindsey's Resort,4.7
542,Hilton Garden Inn Atlanta Downtown,4.3
543,The Townsend Hotel,4.6
544,"The Golden Hotel, Ascend Hotel Collection",4.5
545,Faust Motel,4.8
546,Surf and Sand Resort,4.6
547,Hyatt Place Pittsburgh South/Meadows Racetrack & Casino,4.4
548,"Magnolia Hotel St. Louis, a Tribute Portfolio Hotel",4.3
549,Holiday Inn Express Atlanta West - Theme Park Area,4.2
550,Hampton Inn Sault Ste Marie,4.5
551,Resort at Squaw Creek,4.6
552,Silver Creek Hotel,4.5
553,Hawthorn Suites by Wyndham Corpus Christi,4.2
554,"The Hotel Roanoke & Conference Center, Curio Collection by Hilton",4.7
555,Homewood Suites by Hilton Lexington Fayette Mall,4.2
